unique_id,Datum,Omschrijving,Debet,Credit,boekjaar,Boekstuknummer,Actuele status,Factuurdatum,Factuurbedrag,Factuurnr leverancier,Betalingskenmerk,Bankrekening,Opdracht/contract gegevens
jul-2020 - jun-2021_0,06-07-2020,SOS Herstel Hang- en sluitwerk + d 133021-1),"126,42",,jul-2020 - jun-2021,1,Geboekt - Betaald,06-07-2020,"€126,42",20003472,0000001220003472,NL42RABO0393531015,Hang- en sluitwerk + drangers | WTD (hout) - ingetrapt - Nazien/Herstellen WTD van hout is ingetrapt door 2 onbekende personen (er is een PV). Scharnieren en slot zijn stuk. Deur is daarnaast ook nog beschadigd.
jul-2020 - jun-2021_1,08-07-2020,WALEVELD Herstel Naamplaatjes (132917-1),"33,28",,jul-2020 - jun-2021,2,Geboekt - Betaald,08-07-2020,"€33,28",20-2096,00000003120-2096,NL92RABO0307802000,Naamplaatjes | Naamplaatje plaatsen
jul-2020 - jun-2021_2,10-07-2020,GELDEREN Herstel Hemelwaterafvoer en go (132832-1),"130,05",,jul-2020 - jun-2021,4,Geboekt - Betaald,10-07-2020,"€130,05",202086,0000000081202086,NL78RABO0344749940,"Hemelwaterafvoer en goten | Hwa, beugels, zitten los . Hwa beugels zitten los ter hoogte van Sumatrastraat 227 A."
jul-2020 - jun-2021_3,21-07-2020,RRS Herstel Hemelwaterafvoer en go (133298-2),"260,53",,jul-2020 - jun-2021,6,Geboekt - Betaald,21-07-2020,"€260,53",2032852,0000000012032852,NL93RABO0102353654,Hemelwaterafvoer en goten | Lekkage - HWA - Nazien/HErstellen Mevr geeft aan dat er lekkage is aan de regenpijp. Er zit een band om deze regenpijp en daar lekt het. Dat is op de eerste etage. Achterbalkon van de 1e verdieping die kan erbij. ( nr 485 is de bovenbuurman)
jul-2020 - jun-2021_4,23-07-2020,SIBERG Herstel Intercom / bellen (inc (133307-1),"116,27",,jul-2020 - jun-2021,7,Geboekt - Betaald,23-07-2020,"€116,27",8201532,0000000428201532,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Intercom/Deuropener - Woning - Werkt niet/Nazien ATD kan niet geopend worden vanuit de woning.
jul-2020 - jun-2021_5,23-07-2020,GELDEREN Herstel Hang- en sluitwerk + d (133542-1),"130,05",,jul-2020 - jun-2021,9,Geboekt - Betaald,23-07-2020,"€130,05",202275,0000000081202275,NL78RABO0344749940,"Hang- en sluitwerk + drangers | Wtd, rot, herstellen. Graag de wtd herstellen. Bewoner heeft het over houtrot."
jul-2020 - jun-2021_6,23-07-2020,GELDERENHerstel Hemelwaterafvoer en go (133298-1),"123,39",,jul-2020 - jun-2021,8,Geboekt - Betaald,23-07-2020,"€123,39",202259,0000000081202259,NL78RABO0344749940,Hemelwaterafvoer en goten | Lekkage - HWA - Nazien/HErstellen Mevr geeft aan dat er lekkage is aan de regenpijp. Er zit een band om deze regenpijp en daar lekt het. Dat is op de eerste etage. Achterbalkon van de 1e verdieping die kan erbij. ( nr 485 is de bovenbuurman)
jul-2020 - jun-2021_7,24-07-2020,YSP Herstel Kozijnen / ramen / deu133017-1),"70,97",,jul-2020 - jun-2021,10,Geboekt - Betaald,24-07-2020,"€70,97",PF000004445,000048PF00000444,NL29INGB0004500201,Kozijnen / ramen / deuren | ATD (hout) - Nazien/Herstellen ATD van hout valt niet goed in het slot.
jul-2020 - jun-2021_8,31-07-2020,RRS Herstel Hemelwaterafvoer en go (133298-3),"247,25",,jul-2020 - jun-2021,12,Geboekt - Betaald,31-07-2020,"€247,25",2034451,-,NL93RABO0102353654,Hemelwaterafvoer en goten | Lekkage - HWA - Nazien/HErstellen Mevr geeft aan dat er lekkage is aan de regenpijp. Er zit een band om deze regenpijp en daar lekt het. Dat is op de eerste etage. Achterbalkon van de 1e verdieping die kan erbij. ( nr 485 is de bovenbuurman)
jul-2020 - jun-2021_9,06-08-2020,SIBERG Herstel Intercom / bellen (inc (133514-1),"114,61",,jul-2020 - jun-2021,15,Geboekt - Betaald,06-08-2020,"€114,61",8201652,0000000428201652,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Intercom/Microfoon - Woning - Werkt niet/Nazien Spraakgedeelte en knop om deur te openen werkt niet.
